"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H1f+16093"	"H1"	"H"	"R0"	"R"
"H1f1"	"H1"	"H"	"R0"	"R"
"H1f1a"	"H1"	"H"	"R0"	"R"
"H1g"	"H1"	"H"	"R0"	"R"
"H1g1"	"H1"	"H"	"R0"	"R"
"H1g2"	"H1"	"H"	"R0"	"R"
"H1k"	"H1"	"H"	"R0"	"R"
"H1k1"	"H1"	"H"	"R0"	"R"
"H1k1a"	"H1"	"H"	"R0"	"R"
"H1y"	"H1"	"H"	"R0"	"R"
"H1z"	"H1"	"H"	"R0"	"R"
"H1z1"	"H1"	"H"	"R0"	"R"
"H1aa"	"H1"	"H"	"R0"	"R"
"H1aa1"	"H1"	"H"	"R0"	"R"
"H1ab"	"H1"	"H"	"R0"	"R"
"H1ab1"	"H1"	"H"	"R0"	"R"
"H1ac"	"H1"	"H"	"R0"	"R"
"H1ad"	"H1"	"H"	"R0"	"R"
"H1cc"	"H1"	"H"	"R0"	"R"
"H1c"	"H1"	"H"	"R0"	"R"
"H1c1"	"H1"	"H"	"R0"	"R"
"H1c1a"	"H1"	"H"	"R0"	"R"
"H1c1a1"	"H1"	"H"	"R0"	"R"
"H1c1b"	"H1"	"H"	"R0"	"R"
"H1c1c"	"H1"	"H"	"R0"	"R"
"H1c1+16093"	"H1"	"H"	"R0"	"R"
"H1c1d"	"H1"	"H"	"R0"	"R"
"H1c2"	"H1"	"H"	"R0"	"R"
"H1c2a"	"H1"	"H"	"R0"	"R"
"H1c2a*"	"H1"	"H"	"R0"	"R"
"H1c3"	"H1"	"H"	"R0"	"R"
"H1c3a"	"H1"	"H"	"R0"	"R"
"H1c3b"	"H1"	"H"	"R0"	"R"
"H1c3b*"	"H1"	"H"	"R0"	"R"
"H1c4"	"H1"	"H"	"R0"	"R"
"H1c4a"	"H1"	"H"	"R0"	"R"
"H1c4a1"	"H1"	"H"	"R0"	"R"
"H1c4b"	"H1"	"H"	"R0"	"R"
"H1c4b1"	"H1"	"H"	"R0"	"R"
"H1c5"	"H1"	"H"	"R0"	"R"
"H1c5a"	"H1"	"H"	"R0"	"R"
"H1c6"	"H1"	"H"	"R0"	"R"
"H1c7"	"H1"	"H"	"R0"	"R"
"H1c8"	"H1"	"H"	"R0"	"R"
"H1c+152"	"H1"	"H"	"R0"	"R"
"H1c9"	"H1"	"H"	"R0"	"R"
"H1c9a"	"H1"	"H"	"R0"	"R"
