"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H4c"	"H4"	"H"	"R0"	"R"
"H4c1"	"H4"	"H"	"R0"	"R"
"H4d"	"H4"	"H"	"R0"	"R"
"H5'36"	"H5"	"H"	"R0"	"R"
"H5"	"H5"	"H"	"R0"	"R"
"H5*1"	"H5"	"H"	"R0"	"R"
"H5*2"	"H5"	"H"	"R0"	"R"
"H5*3"	"H5"	"H"	"R0"	"R"
"H5a"	"H5"	"H"	"R0"	"R"
"H5a1"	"H5"	"H"	"R0"	"R"
"H5a1*1"	"H5"	"H"	"R0"	"R"
"H5a1*2"	"H5"	"H"	"R0"	"R"
"H5a1a"	"H5"	"H"	"R0"	"R"
"H5a1b"	"H5"	"H"	"R0"	"R"
"H5a1c"	"H5"	"H"	"R0"	"R"
"H5a1c1"	"H5"	"H"	"R0"	"R"
"H5a1c1a"	"H5"	"H"	"R0"	"R"
"H5a1c2"	"H5"	"H"	"R0"	"R"
"H5a1d"	"H5"	"H"	"R0"	"R"
"H5a1e"	"H5"	"H"	"R0"	"R"
"H5a1f"	"H5"	"H"	"R0"	"R"
"H5a1g"	"H5"	"H"	"R0"	"R"
"H5a1g1"	"H5"	"H"	"R0"	"R"
"H5a1g1a"	"H5"	"H"	"R0"	"R"
"H5a1g2"	"H5"	"H"	"R0"	"R"
"H5a1h"	"H5"	"H"	"R0"	"R"
"H5a1i"	"H5"	"H"	"R0"	"R"
"H5a1j"	"H5"	"H"	"R0"	"R"
"H5a1k"	"H5"	"H"	"R0"	"R"
"H5a1+152"	"H5"	"H"	"R0"	"R"
"H5a1+152*"	"H5"	"H"	"R0"	"R"
"H5a1m"	"H5"	"H"	"R0"	"R"
"H5a1n"	"H5"	"H"	"R0"	"R"
"H5a1+16093"	"H5"	"H"	"R0"	"R"
"H5a1p"	"H5"	"H"	"R0"	"R"
"H5a1q"	"H5"	"H"	"R0"	"R"
"H5a2"	"H5"	"H"	"R0"	"R"
"H5a2a"	"H5"	"H"	"R0"	"R"
"H5a3"	"H5"	"H"	"R0"	"R"
"H5a3a"	"H5"	"H"	"R0"	"R"
"H5a3a1"	"H5"	"H"	"R0"	"R"
"H5a3a+152"	"H5"	"H"	"R0"	"R"
"H5a3a2"	"H5"	"H"	"R0"	"R"
"H5a3a3"	"H5"	"H"	"R0"	"R"
"H5a3b"	"H5"	"H"	"R0"	"R"
"H5a4"	"H5"	"H"	"R0"	"R"
"H5a4a"	"H5"	"H"	"R0"	"R"
"H5a4a1"	"H5"	"H"	"R0"	"R"
"H5a4a1a"	"H5"	"H"	"R0"	"R"
"H5a5"	"H5"	"H"	"R0"	"R"
"H5a+152"	"H5"	"H"	"R0"	"R"
"H5a6"	"H5"	"H"	"R0"	"R"
"H5a6a"	"H5"	"H"	"R0"	"R"
"H5a7"	"H5"	"H"	"R0"	"R"
"H5a7*"	"H5"	"H"	"R0"	"R"
"H5a8"	"H5"	"H"	"R0"	"R"
"H5a9"	"H5"	"H"	"R0"	"R"
"H5b"	"H5"	"H"	"R0"	"R"
"H5b*"	"H5"	"H"	"R0"	"R"
"H5b1"	"H5"	"H"	"R0"	"R"
"H5b2"	"H5"	"H"	"R0"	"R"
"H5b3"	"H5"	"H"	"R0"	"R"
"H5b4"	"H5"	"H"	"R0"	"R"
"H5b5"	"H5"	"H"	"R0"	"R"
"H5c"	"H5"	"H"	"R0"	"R"
"H5c1"	"H5"	"H"	"R0"	"R"
"H5c1a"	"H5"	"H"	"R0"	"R"
"H5c2"	"H5"	"H"	"R0"	"R"
"H5d"	"H5"	"H"	"R0"	"R"
"H5e"	"H5"	"H"	"R0"	"R"
"H5e1"	"H5"	"H"	"R0"	"R"
"H5e1a"	"H5"	"H"	"R0"	"R"
"H5e1a1"	"H5"	"H"	"R0"	"R"
"H5e1b"	"H5"	"H"	"R0"	"R"
"H5f"	"H5"	"H"	"R0"	"R"
"H5g"	"H5"	"H"	"R0"	"R"
"H5h"	"H5"	"H"	"R0"	"R"
"H5j"	"H5"	"H"	"R0"	"R"
"H5k"	"H5"	"H"	"R0"	"R"
"H5m"	"H5"	"H"	"R0"	"R"
"H5n"	"H5"	"H"	"R0"	"R"
"H5p"	"H5"	"H"	"R0"	"R"
"H5+16192"	"H5"	"H"	"R0"	"R"
"H5q"	"H5"	"H"	"R0"	"R"
"H5+16311"	"H5"	"H"	"R0"	"R"
"H5r"	"H5"	"H"	"R0"	"R"
"H5r1"	"H5"	"H"	"R0"	"R"
"H5r2"	"H5"	"H"	"R0"	"R"
"H5s"	"H5"	"H"	"R0"	"R"
"H5t"	"H5"	"H"	"R0"	"R"
"H5u"	"H5"	"H"	"R0"	"R"
"H5u1"	"H5"	"H"	"R0"	"R"
"H5+709"	"H5"	"H"	"R0"	"R"
"H5v"	"H5"	"H"	"R0"	"R"
"H36"	"H36"	"H"	"R0"	"R"
"H6"	"H6"	"H"	"R0"	"R"
"H6a"	"H6"	"H"	"R0"	"R"
"H6a1"	"H6"	"H"	"R0"	"R"
"H6a1a"	"H6"	"H"	"R0"	"R"
"H6a1a*1"	"H6"	"H"	"R0"	"R"
"H6a1a*2"	"H6"	"H"	"R0"	"R"
"H6a1a1"	"H6"	"H"	"R0"	"R"
"H6a1a1a"	"H6"	"H"	"R0"	"R"
"H6a1a2"	"H6"	"H"	"R0"	"R"
"H6a1a2a"	"H6"	"H"	"R0"	"R"
"H6a1a2a*"	"H6"	"H"	"R0"	"R"
"H6a1a2b"	"H6"	"H"	"R0"	"R"
"H6a1a2b1"	"H6"	"H"	"R0"	"R"
"H6a1a3"	"H6"	"H"	"R0"	"R"
"H6a1a3a"	"H6"	"H"	"R0"	"R"
"H6a1a4"	"H6"	"H"	"R0"	"R"
"H6a1a5"	"H6"	"H"	"R0"	"R"
"H6a1a6"	"H6"	"H"	"R0"	"R"
"H6a1a7"	"H6"	"H"	"R0"	"R"
"H6a1a8"	"H6"	"H"	"R0"	"R"
"H6a1a8a"	"H6"	"H"	"R0"	"R"
"H6a1a9"	"H6"	"H"	"R0"	"R"
"H6a1a10"	"H6"	"H"	"R0"	"R"
"H6a1b"	"H6"	"H"	"R0"	"R"
"H6a1b1"	"H6"	"H"	"R0"	"R"
"H6a1b2"	"H6"	"H"	"R0"	"R"
"H6a1b2a"	"H6"	"H"	"R0"	"R"
"H6a1b2b"	"H6"	"H"	"R0"	"R"
"H6a1b2c"	"H6"	"H"	"R0"	"R"
"H6a1b2d"	"H6"	"H"	"R0"	"R"
"H6a1b2e"	"H6"	"H"	"R0"	"R"
"H6a1b3"	"H6"	"H"	"R0"	"R"
"H6a1b3a"	"H6"	"H"	"R0"	"R"
"H6a1b3b"	"H6"	"H"	"R0"	"R"
"H6a1b4"	"H6"	"H"	"R0"	"R"
"H6a2"	"H6"	"H"	"R0"	"R"
"H6a2a"	"H6"	"H"	"R0"	"R"
"H6b"	"H6"	"H"	"R0"	"R"
"H6b1"	"H6"	"H"	"R0"	"R"
"H6b2"	"H6"	"H"	"R0"	"R"
"H6c"	"H6"	"H"	"R0"	"R"
"H6c1"	"H6"	"H"	"R0"	"R"
"H7"	"H7"	"H"	"R0"	"R"
"H7*"	"H7"	"H"	"R0"	"R"
"H7a"	"H7"	"H"	"R0"	"R"
"H7a1"	"H7"	"H"	"R0"	"R"
"H7a1a"	"H7"	"H"	"R0"	"R"
"H7a1a*"	"H7"	"H"	"R0"	"R"
"H7a1b"	"H7"	"H"	"R0"	"R"
"H7a1c"	"H7"	"H"	"R0"	"R"
"H7a1d"	"H7"	"H"	"R0"	"R"
"H7a2"	"H7"	"H"	"R0"	"R"
"H7b"	"H7"	"H"	"R0"	"R"
"H7b1"	"H7"	"H"	"R0"	"R"
"H7b1*"	"H7"	"H"	"R0"	"R"
"H7b2"	"H7"	"H"	"R0"	"R"
"H7b2a"	"H7"	"H"	"R0"	"R"
"H7b3"	"H7"	"H"	"R0"	"R"
"H7b4"	"H7"	"H"	"R0"	"R"
"H7b5"	"H7"	"H"	"R0"	"R"
"H7b6"	"H7"	"H"	"R0"	"R"
"H7c"	"H7"	"H"	"R0"	"R"
"H7c1"	"H7"	"H"	"R0"	"R"
"H7c2"	"H7"	"H"	"R0"	"R"
"H7c3"	"H7"	"H"	"R0"	"R"
"H7c4"	"H7"	"H"	"R0"	"R"
"H7c5"	"H7"	"H"	"R0"	"R"
"H7c6"	"H7"	"H"	"R0"	"R"
"H7d"	"H7"	"H"	"R0"	"R"
"H7d1"	"H7"	"H"	"R0"	"R"
"H7d2"	"H7"	"H"	"R0"	"R"
"H7d2a"	"H7"	"H"	"R0"	"R"
"H7d3"	"H7"	"H"	"R0"	"R"
"H7d3a"	"H7"	"H"	"R0"	"R"
"H7d4"	"H7"	"H"	"R0"	"R"
"H7d5"	"H7"	"H"	"R0"	"R"
"H7e"	"H7"	"H"	"R0"	"R"
"H7f"	"H7"	"H"	"R0"	"R"
"H7g"	"H7"	"H"	"R0"	"R"
"H7h"	"H7"	"H"	"R0"	"R"
"H7h1"	"H7"	"H"	"R0"	"R"
"H7i"	"H7"	"H"	"R0"	"R"
"H7i1"	"H7"	"H"	"R0"	"R"
"H+195"	"H"	"H"	"R0"	"R"
"H+195+146"	"H"	"H"	"R0"	"R"
"H8"	"H8"	"H"	"R0"	"R"
"H8a"	"H8"	"H"	"R0"	"R"
"H8a1"	"H8"	"H"	"R0"	"R"
"H8+(114)"	"H8"	"H"	"R0"	"R"
"H8b"	"H8"	"H"	"R0"	"R"
"H8b1"	"H8"	"H"	"R0"	"R"
"H8b1*"	"H8"	"H"	"R0"	"R"
"H8+(114)+152"	"H8"	"H"	"R0"	"R"
"H8c"	"H8"	"H"	"R0"	"R"
"H8c1"	"H8"	"H"	"R0"	"R"
"H8c2"	"H8"	"H"	"R0"	"R"
"H31"	"H31"	"H"	"R0"	"R"
"H31*"	"H31"	"H"	"R0"	"R"
"H31a"	"H31"	"H"	"R0"	"R"
"H31b"	"H31"	"H"	"R0"	"R"
"H11"	"H11"	"H"	"R0"	"R"
"H11a"	"H11"	"H"	"R0"	"R"
"H11a1"	"H11"	"H"	"R0"	"R"
"H11a2"	"H11"	"H"	"R0"	"R"
"H11a2a"	"H11"	"H"	"R0"	"R"
"H11a2a1"	"H11"	"H"	"R0"	"R"
"H11a2a2"	"H11"	"H"	"R0"	"R"
"H11a2a3"	"H11"	"H"	"R0"	"R"
"H11a3"	"H11"	"H"	"R0"	"R"
"H11a4"	"H11"	"H"	"R0"	"R"
"H11a5"	"H11"	"H"	"R0"	"R"
"H11a6"	"H11"	"H"	"R0"	"R"
"H11a+152"	"H11"	"H"	"R0"	"R"
"H11a7"	"H11"	"H"	"R0"	"R"
"H11a8"	"H11"	"H"	"R0"	"R"
"H11b"	"H11"	"H"	"R0"	"R"
"H11b1"	"H11"	"H"	"R0"	"R"
"H12"	"H12"	"H"	"R0"	"R"
"H12a"	"H12"	"H"	"R0"	"R"
"H91"	"H91"	"H"	"R0"	"R"
"H108"	"H108"	"H"	"R0"	"R"
"H+152"	"H"	"H"	"R0"	"R"
"H+152*"	"H"	"H"	"R0"	"R"
"H9"	"H9"	"H"	"R0"	"R"
"H9a"	"H9"	"H"	"R0"	"R"
"H32"	"H32"	"H"	"R0"	"R"
"H46"	"H46"	"H"	"R0"	"R"
"H46a"	"H46"	"H"	"R0"	"R"
"H46b"	"H46"	"H"	"R0"	"R"
"H52"	"H52"	"H"	"R0"	"R"
"H69"	"H69"	"H"	"R0"	"R"
"H103"	"H103"	"H"	"R0"	"R"
"H107"	"H107"	"H"	"R0"	"R"
"H10"	"H10"	"H"	"R0"	"R"
"H10a"	"H10"	"H"	"R0"	"R"
"H10a1"	"H10"	"H"	"R0"	"R"
"H10a1a"	"H10"	"H"	"R0"	"R"
"H10a1a1"	"H10"	"H"	"R0"	"R"
"H10a1b"	"H10"	"H"	"R0"	"R"
"H10b"	"H10"	"H"	"R0"	"R"
"H10b1"	"H10"	"H"	"R0"	"R"
"H10c"	"H10"	"H"	"R0"	"R"
"H10c1"	"H10"	"H"	"R0"	"R"
"H10c1*"	"H10"	"H"	"R0"	"R"
"H10d"	"H10"	"H"	"R0"	"R"
"H10+(16093)"	"H10"	"H"	"R0"	"R"
"H10e"	"H10"	"H"	"R0"	"R"
"H10e1"	"H10"	"H"	"R0"	"R"
"H10e1a"	"H10"	"H"	"R0"	"R"
"H10e2"	"H10"	"H"	"R0"	"R"
"H10e3"	"H10"	"H"	"R0"	"R"
"H10e3a"	"H10"	"H"	"R0"	"R"
"H10f"	"H10"	"H"	"R0"	"R"
"H10g"	"H10"	"H"	"R0"	"R"
"H10h"	"H10"	"H"	"R0"	"R"
"H13"	"H13"	"H"	"R0"	"R"
"H13a"	"H13"	"H"	"R0"	"R"
"H13a1"	"H13"	"H"	"R0"	"R"
"H13a1a"	"H13"	"H"	"R0"	"R"
"H13a1a1"	"H13"	"H"	"R0"	"R"
"H13a1a1*"	"H13"	"H"	"R0"	"R"
"H13a1a1a"	"H13"	"H"	"R0"	"R"
"H13a1a1a*"	"H13"	"H"	"R0"	"R"
"H13a1a1b"	"H13"	"H"	"R0"	"R"
"H13a1a1c"	"H13"	"H"	"R0"	"R"
"H13a1a1d"	"H13"	"H"	"R0"	"R"
"H13a1a1d1"	"H13"	"H"	"R0"	"R"
"H13a1a1e"	"H13"	"H"	"R0"	"R"
"H13a1a2"	"H13"	"H"	"R0"	"R"
"H13a1a2+16311"	"H13"	"H"	"R0"	"R"
"H13a1a2a"	"H13"	"H"	"R0"	"R"
"H13a1a2b"	"H13"	"H"	"R0"	"R"
"H13a1a3"	"H13"	"H"	"R0"	"R"
"H13a1a4"	"H13"	"H"	"R0"	"R"
"H13a1a5"	"H13"	"H"	"R0"	"R"
"H13a1a6"	"H13"	"H"	"R0"	"R"
"H13a1b"	"H13"	"H"	"R0"	"R"
"H13a1c"	"H13"	"H"	"R0"	"R"
"H13a1c*"	"H13"	"H"	"R0"	"R"
"H13a1+152"	"H13"	"H"	"R0"	"R"
"H13a1d"	"H13"	"H"	"R0"	"R"
"H13a2"	"H13"	"H"	"R0"	"R"
"H13a2a"	"H13"	"H"	"R0"	"R"
"H13a2a*"	"H13"	"H"	"R0"	"R"
"H13a2a1"	"H13"	"H"	"R0"	"R"
"H13a2a1*"	"H13"	"H"	"R0"	"R"
"H13a2b"	"H13"	"H"	"R0"	"R"
"H13a2b1"	"H13"	"H"	"R0"	"R"
"H13a2b2"	"H13"	"H"	"R0"	"R"
"H13a2b2a"	"H13"	"H"	"R0"	"R"
"H13a2b3"	"H13"	"H"	"R0"	"R"
"H13a2b4"	"H13"	"H"	"R0"	"R"
"H13a2b5"	"H13"	"H"	"R0"	"R"
"H13a2c"	"H13"	"H"	"R0"	"R"
"H13a2c1"	"H13"	"H"	"R0"	"R"
"H13a2c1*"	"H13"	"H"	"R0"	"R"
"H13b"	"H13"	"H"	"R0"	"R"
"H13b1"	"H13"	"H"	"R0"	"R"
"H13b1+200"	"H13"	"H"	"R0"	"R"
"H13b1a"	"H13"	"H"	"R0"	"R"
"H13b1b"	"H13"	"H"	"R0"	"R"
"H13b2"	"H13"	"H"	"R0"	"R"
"H13c"	"H13"	"H"	"R0"	"R"
"H13c1"	"H13"	"H"	"R0"	"R"
"H13c1a"	"H13"	"H"	"R0"	"R"
"H13c2"	"H13"	"H"	"R0"	"R"
"H14"	"H14"	"H"	"R0"	"R"
"H14a"	"H14"	"H"	"R0"	"R"
"H14a+146"	"H14"	"H"	"R0"	"R"
"H14a1"	"H14"	"H"	"R0"	"R"
"H14a2"	"H14"	"H"	"R0"	"R"
"H14a2a"	"H14"	"H"	"R0"	"R"
"H14a2b"	"H14"	"H"	"R0"	"R"
"H14a2c"	"H14"	"H"	"R0"	"R"
"H14b"	"H14"	"H"	"R0"	"R"
"H14b1"	"H14"	"H"	"R0"	"R"
"H14b2"	"H14"	"H"	"R0"	"R"
"H14b2a"	"H14"	"H"	"R0"	"R"
"H14b3"	"H14"	"H"	"R0"	"R"
"H14b4"	"H14"	"H"	"R0"	"R"
"H15"	"H15"	"H"	"R0"	"R"
"H15a"	"H15"	"H"	"R0"	"R"
"H15a1"	"H15"	"H"	"R0"	"R"
"H15a1*"	"H15"	"H"	"R0"	"R"
"H15a1a"	"H15"	"H"	"R0"	"R"
"H15a1a1"	"H15"	"H"	"R0"	"R"
"H15a1b"	"H15"	"H"	"R0"	"R"
"H15a1b*"	"H15"	"H"	"R0"	"R"
"H15b"	"H15"	"H"	"R0"	"R"
"H15b1"	"H15"	"H"	"R0"	"R"
"H15b1*"	"H15"	"H"	"R0"	"R"
"H15b2"	"H15"	"H"	"R0"	"R"
"H16"	"H16"	"H"	"R0"	"R"
"H16+152"	"H16"	"H"	"R0"	"R"
"H16a"	"H16"	"H"	"R0"	"R"
"H16a1"	"H16"	"H"	"R0"	"R"
"H16c"	"H16"	"H"	"R0"	"R"
"H16d"	"H16"	"H"	"R0"	"R"
"H16b"	"H16"	"H"	"R0"	"R"
"H16e"	"H16"	"H"	"R0"	"R"
"H+16129"	"H"	"H"	"R0"	"R"
"H17"	"H17"	"H"	"R0"	"R"
"H17a"	"H17"	"H"	"R0"	"R"
"H17a1"	"H17"	"H"	"R0"	"R"
"H17a1*"	"H17"	"H"	"R0"	"R"
"H17a2"	"H17"	"H"	"R0"	"R"
"H17b"	"H17"	"H"	"R0"	"R"
"H17c"	"H17"	"H"	"R0"	"R"
"H27"	"H27"	"H"	"R0"	"R"
"H27*"	"H27"	"H"	"R0"	"R"
"H27+16093"	"H27"	"H"	"R0"	"R"
"H27a"	"H27"	"H"	"R0"	"R"
"H27b"	"H27"	"H"	"R0"	"R"
"H27c"	"H27"	"H"	"R0"	"R"
"H27d"	"H27"	"H"	"R0"	"R"
"H27e"	"H27"	"H"	"R0"	"R"
"H27f"	"H27"	"H"	"R0"	"R"
"H+13708"	"H"	"H"	"R0"	"R"
"H18"	"H18"	"H"	"R0"	"R"
"H18b"	"H18"	"H"	"R0"	"R"
"H19"	"H19"	"H"	"R0"	"R"
"H20"	"H20"	"H"	"R0"	"R"
"H20a"	"H20"	"H"	"R0"	"R"
"H20a1"	"H20"	"H"	"R0"	"R"
"H20a1a"	"H20"	"H"	"R0"	"R"
"H20a2"	"H20"	"H"	"R0"	"R"
"H20a2*"	"H20"	"H"	"R0"	"R"
"H20b"	"H20"	"H"	"R0"	"R"
"H20c"	"H20"	"H"	"R0"	"R"
"H21"	"H21"	"H"	"R0"	"R"
"H22"	"H22"	"H"	"R0"	"R"
"H23"	"H23"	"H"	"R0"	"R"
"H23*"	"H23"	"H"	"R0"	"R"
"H24"	"H24"	"H"	"R0"	"R"
"H24a"	"H24"	"H"	"R0"	"R"
"H24a*"	"H24"	"H"	"R0"	"R"
"H24a1"	"H24"	"H"	"R0"	"R"
"H24a2"	"H24"	"H"	"R0"	"R"
"H24b"	"H24"	"H"	"R0"	"R"
"H24b*"	"H24"	"H"	"R0"	"R"
"H25"	"H25"	"H"	"R0"	"R"
"H26"	"H26"	"H"	"R0"	"R"
"H26a"	"H26"	"H"	"R0"	"R"
"H26a1"	"H26"	"H"	"R0"	"R"
"H26a1*"	"H26"	"H"	"R0"	"R"
"H26a1a"	"H26"	"H"	"R0"	"R"
"H26a1a1"	"H26"	"H"	"R0"	"R"
"H26a1b"	"H26"	"H"	"R0"	"R"
"H26b"	"H26"	"H"	"R0"	"R"
"H26c"	"H26"	"H"	"R0"	"R"
"H28"	"H28"	"H"	"R0"	"R"
"H28*"	"H28"	"H"	"R0"	"R"
"H28a"	"H28"	"H"	"R0"	"R"
"H28a1"	"H28"	"H"	"R0"	"R"
"H28a2"	"H28"	"H"	"R0"	"R"
"H29"	"H29"	"H"	"R0"	"R"
"H29*"	"H29"	"H"	"R0"	"R"
"H29a"	"H29"	"H"	"R0"	"R"
"H29b"	"H29"	"H"	"R0"	"R"
"H30"	"H30"	"H"	"R0"	"R"
"H30a"	"H30"	"H"	"R0"	"R"
"H30b"	"H30"	"H"	"R0"	"R"
"H30b1"	"H30"	"H"	"R0"	"R"
"H33"	"H33"	"H"	"R0"	"R"
"H33a"	"H33"	"H"	"R0"	"R"
"H33b"	"H33"	"H"	"R0"	"R"
"H33c"	"H33"	"H"	"R0"	"R"
"H+16291"	"H"	"H"	"R0"	"R"
"H34"	"H34"	"H"	"R0"	"R"
"H34*"	"H34"	"H"	"R0"	"R"
"H64"	"H64"	"H"	"R0"	"R"
"H85"	"H85"	"H"	"R0"	"R"
"H35"	"H35"	"H"	"R0"	"R"
"H35a"	"H35"	"H"	"R0"	"R"
"H39"	"H39"	"H"	"R0"	"R"
"H39a"	"H39"	"H"	"R0"	"R"
"H39a1"	"H39"	"H"	"R0"	"R"
"H39b"	"H39"	"H"	"R0"	"R"
"H39c"	"H39"	"H"	"R0"	"R"
"H40"	"H40"	"H"	"R0"	"R"
"H40a"	"H40"	"H"	"R0"	"R"
"H40b"	"H40"	"H"	"R0"	"R"
"H41"	"H41"	"H"	"R0"	"R"
"H41a"	"H41"	"H"	"R0"	"R"
"H41a*"	"H41"	"H"	"R0"	"R"
"H42"	"H42"	"H"	"R0"	"R"
"H42a"	"H42"	"H"	"R0"	"R"
"H42a1"	"H42"	"H"	"R0"	"R"
"H42a2"	"H42"	"H"	"R0"	"R"
"H43"	"H43"	"H"	"R0"	"R"
"H44"	"H44"	"H"	"R0"	"R"
"H44a"	"H44"	"H"	"R0"	"R"
"H44a1"	"H44"	"H"	"R0"	"R"
"H44b"	"H44"	"H"	"R0"	"R"
"H44b*"	"H44"	"H"	"R0"	"R"
"H45"	"H45"	"H"	"R0"	"R"
"H45a"	"H45"	"H"	"R0"	"R"
"H45b"	"H45"	"H"	"R0"	"R"
"H47"	"H47"	"H"	"R0"	"R"
"H47a"	"H47"	"H"	"R0"	"R"
"H48"	"H48"	"H"	"R0"	"R"
"H49"	"H49"	"H"	"R0"	"R"
"H49a"	"H49"	"H"	"R0"	"R"
"H49a1"	"H49"	"H"	"R0"	"R"
"H49a2"	"H49"	"H"	"R0"	"R"
"H49b"	"H49"	"H"	"R0"	"R"
"H49b*"	"H49"	"H"	"R0"	"R"
"H50"	"H50"	"H"	"R0"	"R"
"H51"	"H51"	"H"	"R0"	"R"
"H51a"	"H51"	"H"	"R0"	"R"
"H53"	"H53"	"H"	"R0"	"R"
"H53*"	"H53"	"H"	"R0"	"R"
"H54"	"H54"	"H"	"R0"	"R"
"H54*"	"H54"	"H"	"R0"	"R"
"H55"	"H55"	"H"	"R0"	"R"
"H55a"	"H55"	"H"	"R0"	"R"
"H55+153"	"H55"	"H"	"R0"	"R"
"H55b"	"H55"	"H"	"R0"	"R"
"H55b*1"	"H55"	"H"	"R0"	"R"
"H55b*2"	"H55"	"H"	"R0"	"R"
"H56"	"H56"	"H"	"R0"	"R"
"H56a"	"H56"	"H"	"R0"	"R"
"H56a1"	"H56"	"H"	"R0"	"R"
"H56b"	"H56"	"H"	"R0"	"R"
"H56c"	"H56"	"H"	"R0"	"R"
"H56d"	"H56"	"H"	"R0"	"R"
"H57"	"H57"	"H"	"R0"	"R"
"H58"	"H58"	"H"	"R0"	"R"
"H58a"	"H58"	"H"	"R0"	"R"
"H59"	"H59"	"H"	"R0"	"R"
"H59a"	"H59"	"H"	"R0"	"R"
"H60"	"H60"	"H"	"R0"	"R"
"H60a"	"H60"	"H"	"R0"	"R"
"H60a*1"	"H60"	"H"	"R0"	"R"
"H61"	"H61"	"H"	"R0"	"R"
"H61a"	"H61"	"H"	"R0"	"R"
"H62"	"H62"	"H"	"R0"	"R"
"H63"	"H63"	"H"	"R0"	"R"
"H63a"	"H63"	"H"	"R0"	"R"
"H65"	"H65"	"H"	"R0"	"R"
"H65a"	"H65"	"H"	"R0"	"R"
"H66"	"H66"	"H"	"R0"	"R"
"H66a"	"H66"	"H"	"R0"	"R"
"H66a1"	"H66"	"H"	"R0"	"R"
"H67"	"H67"	"H"	"R0"	"R"
"H67a"	"H67"	"H"	"R0"	"R"
"H70"	"H70"	"H"	"R0"	"R"
"H71"	"H71"	"H"	"R0"	"R"
"H72"	"H72"	"H"	"R0"	"R"
"H73"	"H73"	"H"	"R0"	"R"
"H73a"	"H73"	"H"	"R0"	"R"
"H73a1"	"H73"	"H"	"R0"	"R"
"H74"	"H74"	"H"	"R0"	"R"
"H75"	"H75"	"H"	"R0"	"R"
"H76"	"H76"	"H"	"R0"	"R"
"H76a"	"H76"	"H"	"R0"	"R"
"H77"	"H77"	"H"	"R0"	"R"
"H78"	"H78"	"H"	"R0"	"R"
"H78*"	"H78"	"H"	"R0"	"R"
"H79"	"H79"	"H"	"R0"	"R"
"H79a"	"H79"	"H"	"R0"	"R"
"H80"	"H80"	"H"	"R0"	"R"
"H81"	"H81"	"H"	"R0"	"R"
"H81a"	"H81"	"H"	"R0"	"R"
"H82"	"H82"	"H"	"R0"	"R"
"H83"	"H83"	"H"	"R0"	"R"
"H84"	"H84"	"H"	"R0"	"R"
"H86"	"H86"	"H"	"R0"	"R"
"H87"	"H87"	"H"	"R0"	"R"
"H88"	"H88"	"H"	"R0"	"R"
"H89"	"H89"	"H"	"R0"	"R"
"H90"	"H90"	"H"	"R0"	"R"
"H92"	"H92"	"H"	"R0"	"R"
"H93"	"H93"	"H"	"R0"	"R"
"H94"	"H94"	"H"	"R0"	"R"
"H95"	"H95"	"H"	"R0"	"R"
"H95*"	"H95"	"H"	"R0"	"R"
"H95a"	"H95"	"H"	"R0"	"R"
"H96"	"H96"	"H"	"R0"	"R"
"H100"	"H100"	"H"	"R0"	"R"
"H100*"	"H100"	"H"	"R0"	"R"
"H101"	"H101"	"H"	"R0"	"R"
"H101*"	"H101"	"H"	"R0"	"R"
"H102"	"H102"	"H"	"R0"	"R"
"H104"	"H104"	"H"	"R0"	"R"
"H104a"	"H104"	"H"	"R0"	"R"
"H105"	"H105"	"H"	"R0"	"R"
"H105a"	"H105"	"H"	"R0"	"R"
"H106"	"H106"	"H"	"R0"	"R"
"H*1"	"H"	"H"	"R0"	"R"
"H*2"	"H"	"H"	"R0"	"R"
"H*3"	"H"	"H"	"R0"	"R"
"H*4"	"H"	"H"	"R0"	"R"
"H*5"	"H"	"H"	"R0"	"R"
"HV"	"HV"	"HV"	"R0"	"R"
"HV0"	"HV0"	"HV"	"R0"	"R"
"HV0a"	"HV0"	"HV"	"R0"	"R"
"HV0a1"	"HV0"	"HV"	"R0"	"R"
"HV0a1a"	"HV0"	"HV"	"R0"	"R"
"V"	"V"	"V"	"R0"	"R"
"V*1"	"V"	"V"	"R0"	"R"
"V*2"	"V"	"V"	"R0"	"R"
"V1"	"V1"	"V"	"R0"	"R"
"V1a"	"V1"	"V"	"R0"	"R"
"V1a*"	"V1"	"V"	"R0"	"R"
"V1a1"	"V1"	"V"	"R0"	"R"
"V1a1a"	"V1"	"V"	"R0"	"R"
"V1a1a1"	"V1"	"V"	"R0"	"R"
"V1a1b"	"V1"	"V"	"R0"	"R"
"V1a1b*"	"V1"	"V"	"R0"	"R"
"V1b"	"V1"	"V"	"R0"	"R"
"V2"	"V2"	"V"	"R0"	"R"
"V2a"	"V2"	"V"	"R0"	"R"
"V2a1"	"V2"	"V"	"R0"	"R"
"V2a1a"	"V2"	"V"	"R0"	"R"
"V2b"	"V2"	"V"	"R0"	"R"
"V2b1"	"V2"	"V"	"R0"	"R"
"V2b2"	"V2"	"V"	"R0"	"R"
"V2c"	"V2"	"V"	"R0"	"R"
"V3"	"V3"	"V"	"R0"	"R"
"V3a"	"V3"	"V"	"R0"	"R"
"V3a*"	"V3"	"V"	"R0"	"R"
"V3a1"	"V3"	"V"	"R0"	"R"
"V3b"	"V3"	"V"	"R0"	"R"
"V3c"	"V3"	"V"	"R0"	"R"
